Country,<USD 40/kgU,<USD 80/kgU,<USD 130/kgU,<USD 260/kgU
Algeria,0.0,0.0,0.0,26000
Argentina,0.0,9600.0,14400.0,14400
Australia,,,1907500.0,2076300
Botswana,0.0,0.0,32900.0,32900
Brazil,184300.0,209700.0,209700.0,209700
Canada,0.0,293100.0,525100.0,744400
Chile,0.0,0.0,0.0,700
China,45400.0,79100.0,149800.0,154500
Congo Dem Rep of,0.0,0.0,0.0,1900
Czech Republic,0.0,0.0,1300.0,3800
Denmark/Greenland,0.0,0.0,0.0,102800
Finland,0.0,0.0,1500.0,1500
Gabon,0.0,0.0,6400.0,6400
Germany,0.0,0.0,0.0,4000
Greece,0.0,0.0,0.0,1300
Guyana,0.0,0.0,0.0,1300
India,,,,282400
Indonesia,0.0,2000.0,7400.0,7400
Iran Islamic Rep of,0.0,0.0,4300.0,4300
Italy,0.0,6400.0,6400.0,6400
Japan,0.0,0.0,0.0,0
Jordan,0.0,0.0,62000.0,62000
Kazakhstan,283100.0,355700.0,414700.0,438800
Malawi,0.0,0.0,9500.0,15700
Mali,0.0,0.0,6700.0,6700
Mauritania,0.0,0.0,7500.0,7900
Mexico,0.0,0.0,0.0,0
Mongolia,0.0,10100.0,88000.0,88200
Namibia,0.0,14700.0,384000.0,403500
Niger,0.0,18000.0,317900.0,413400
Paraguay,0.0,0.0,3400.0,3400
Peru,0.0,20000.0,20000.0,20000
Portugal,0.0,4500.0,6000.0,6000
Romania,0.0,4000.0,4800.0,4800
Russia,0.0,27500.0,257200.0,327100
Slovak Republic,0.0,10900.0,10900.0,10900
Slovenia,0.0,2200.0,2200.0,2200
Somalia,0.0,0.0,0.0,3500
South Africa,0.0,229400.0,324600.0,351500
Spain,9800.0,23000.0,23000.0,23000
Sweden,0.0,0.0,6500.0,6500
Tanzania,0.0,47900.0,49600.0,49600
Turkey,0.0,0.0,0.0,0
Ukraine,0.0,51800.0,83700.0,137200
United States,0.0,12000.0,79200.0,149500
Uzbekistan,34100.0,34100.0,61800.0,61800
Viet Nam,0.0,0.0,0.0,1200
Zambia,0.0,0.0,14100.0,14100
Zimbabwe,0.0,0.0,0.0,1800
