Country,Pre-2014,2014,2015,2016,2017,2018,2019,2020,2021 (preliminary)
Algeria,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,115653.0,4244.0,5880.0,4142.0,5092.0,2376.0,1496.0,1089.0,4166.0
Australia,1630331.0,37124.0,33665.0,17205.0,15115.0,9044.0,7138.0,4589.0,6870.0
Bangladesh,453.0,,,,,,,6.0,8.0
Belgium,2487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,9343.0,,,,,,,,
Botswana,12629.0,,,,,,,,
Brazil,189732.0,0.0,224.0,1348.0,574.0,0.0,0.0,0.0,0.0
Cameroon,1282.0,,,,,,,,
Canada,6765387.0,525677.0,397249.0,319785.0,253435.0,198496.0,210687.0,140876.0,153906.0
Central African Rep.,21800.0,,,,,,,,
Chile,9618.0,,,,,,,,
China,740000.0,197000.0,152000.0,128000.0,125000.0,120000.0,154000.0,,
Colombia,25946.0,,,,,,,,
Costa Rica,364.0,,,,,,,,
Cuba,972.0,,,,,,,,
Czech Republic,315200.0,1327.0,633.0,514.0,17.0,9.0,197.0,284.0,289.0
Denmark/Greenland,4210.0,2195.0,,,,,,,
Ecuador,1945.0,,,,,,,,
Egypt,17271.0,,,28.0,28.0,17.0,30.0,186.0,254.0
Ethiopia,2.0,,,,,,,,
Finland,124474.0,1753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
France,907240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,102443.0,,,,,,,,
Germany,2002789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,90.0,,,,,,,,
Greece,17547.0,,,,,,,,
Guatemala,610.0,,,,,,,,
Hungary,4051.0,,,,,,,,
India,647648.0,43983.0,49858.0,52156.0,63732.0,60852.0,66165.0,47805.0,65268.0
Indonesia,18308.0,100.0,464.0,233.0,121.0,186.0,246.0,42.0,47.0
Iran Islamic Rep of,267680.0,50179.0,6276.0,17320.0,39221.0,13567.0,284.0,,
Ireland,6200.0,,,,,,,,
Italy,75060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaica,30.0,,,,,,,,
Japan,16697.0,,,,,,,,
Jordan,34859.0,3820.0,3697.0,2886.0,3531.0,4831.0,3531.0,2444.0,2825.0
Kazakhstan,529115.0,34676.0,60934.0,23935.0,36267.0,37252.0,18779.0,13367.0,9911.0
Korea Republic of,17866.0,,,,,,,,
Lesotho,21.0,,,,,,,,
Madagascar,5239.0,,,,,,,,
Malawi,,,,,,,,,
Malaysia,10478.0,,,,,,,,
Mali,56693.0,1516.0,774.0,387.0,390.0,354.0,298.0,30.0,
Mexico,30761.0,106.0,93.0,66.0,886.0,1204.0,871.0,,
Mongolia,177637.0,15436.0,7816.0,6600.0,7172.0,4857.0,158.0,71.0,74.0
Morocco,2752.0,,,,,,,,
Namibia,344182.0,1041434.0,9962.0,8253.0,3310.0,3718.0,5960.0,11068.0,19208.0
Niger,1048927.0,,,4504.0,322.0,6937.0,2912.0,2527.0,
Nigeria,6950.0,,,,,,,,
Norway,,,,,,,,,
Pakistan,23609.0,690.0,0.0,0.0,0.0,0.0,250.0,250.0,250.0
Peru,4776.0,,,,,,,,
Philippines,3492.0,,,,,,,,
Poland,,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portugal,,176.0,0.0,0.0,0.0,0.0,,,
Romania,10060.0,,,,,,,,
Russia,977005.0,39917.0,17581.0,18907.0,9980.0,8336.0,8782.0,13083.0,9804.0
Rwanda,1505.0,,,,,,,,
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,6000.0,3000.0
Slovak Republic,,408.0,,,,,,,
Slovenia,1581.0,,,,,,,,
Somalia,10000.0,,,,,,,,
South Africa,297517.0,1655.0,5164.0,,,,,,
Spain,202790.0,5400.0,9106.0,1160.0,1180.0,908.0,893.0,285.0,417.0
Sri Lanka,43.0,,,,,,,,
Sudan,200.0,,,,,,,,
Sweden,47900.0,,,,,,,,
Switzerland,3359.0,,,,,,,,
Syria,1151.0,,,,,,,,
Tanzania,,,,,,,,,
Thailand,11299.0,,,,,,,,
Turkey,30441.0,4875.0,6842.0,223.0,768.0,2987.0,14245.0,7288.0,
Ukraine,57508.0,1337.0,689.0,484.0,1111.0,800.0,2235.0,1762.0,3312.0
United Kingdom,3815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States,4062813.0,102100.0,105000.0,71000.0,444300.0,50900.0,44800.0,73200.0,50600.0
Uruguay,231.0,,,,,,,,
USSR,3692350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,269715.0,,,,,,,,
Viet Nam,15373.0,1875.0,2610.0,1794.0,1540.0,,,,
Zambia,9732.0,,,710.0,607.0,502.0,536.0,,
Zimbabwe,6902.0,,,,,,,,
