Country,Pre-2018,2018,2019,2020,Total to 2020,2021
Argentina,2582,0,0,0,2582,0
Australia,212502,6526,6613,6195,231836,3817
Belgium,686,0,0,0,686,0
Brazil,4216,0,0,0,4216,30
Bulgaria,16347,0,0,0,16347,0
Canada,524929,6996,6944,3878,542747,4692
China,44679,1620,1600,1600,49499,1600
Congo Dem Rep of,25600,0,0,0,25600,0
Czech Republic,112119,34,42,34,112229,36
Finland,30,0,0,0,30,0
France,80978,0,0,0,80978,0
Gabon,25403,0,0,0,25403,0
Germany,219765,5,24,7,219796,3
Hungary,21078,5,3,3,21089,3
India,12568,385,460,540,13953,600
Iran Islamic Rep of,98,20,21,21,160,21
Japan,84,0,0,0,84,0
Kazakhstan,316593,21705,22808,19477,380583,21819
Madagascar,785,0,0,0,785,0
Malawi,4217,0,0,0,4217,0
Mexico,49,0,0,0,49,0
Mongolia,535,0,0,0,535,0
Namibia,131224,3520,5477,5412,147633,3753
Niger,143261,2878,2982,2991,152112,2250
Pakistan,1574,45,45,45,1709,45
Poland,650,0,0,0,650,0
Portugal,3720,0,0,0,3720,0
Romania,18794,0,0,0,18794,0
Russia,167821,2904,2911,2846,176482,2635
Slovak Republic,211,0,0,0,211,0
Slovenia,387,0,0,0,387,0
South Africa,160701,346,185,62,161294,192
Spain,5028,0,0,0,5028,0
Sweden,200,0,0,0,200,0
Ukraine,132143,790,796,711,134440,455
United States,376646,277,67,8,376998,4
USSR,102886,0,0,0,102886,0
Uzbekistan,137016,3450,3500,3512,147478,3520
Zambia,86,0,0,0,86,0
