Country,Year,Annual_Uranium_Demand_tU
ARGENTINA,2024,0.0
ARGENTINA,2025,0.0
ARGENTINA,2026,0.0
ARGENTINA,2027,0.0
ARGENTINA,2028,0.0
ARGENTINA,2029,0.0
ARGENTINA,2030,0.0
ARGENTINA,2031,0.0
ARGENTINA,2032,0.27739726027397266
ARGENTINA,2033,0.625
ARGENTINA,2034,0.625
ARGENTINA,2035,0.625
ARGENTINA,2036,0.625
ARGENTINA,2037,0.625
ARGENTINA,2038,0.625
ARGENTINA,2039,0.625
ARGENTINA,2040,0.625
ARGENTINA,2041,0.625
ARGENTINA,2042,0.625
ARGENTINA,2043,0.625
ARGENTINA,2044,0.625
ARGENTINA,2045,0.625
ARGENTINA,2046,0.625
ARGENTINA,2047,0.625
ARGENTINA,2048,0.625
ARGENTINA,2049,0.625
ARGENTINA,2050,0.625
BANGLADESH,2024,0.0
BANGLADESH,2025,0.0
BANGLADESH,2026,0.0
BANGLADESH,2027,9.468493150684932
BANGLADESH,2028,46.824657534246576
BANGLADESH,2029,54.0
BANGLADESH,2030,54.0
BANGLADESH,2031,54.0
BANGLADESH,2032,54.0
BANGLADESH,2033,54.0
BANGLADESH,2034,54.0
BANGLADESH,2035,54.0
BANGLADESH,2036,54.0
BANGLADESH,2037,54.0
BANGLADESH,2038,54.0
BANGLADESH,2039,54.0
BANGLADESH,2040,54.0
BANGLADESH,2041,54.0
BANGLADESH,2042,54.0
BANGLADESH,2043,54.0
BANGLADESH,2044,54.0
BANGLADESH,2045,54.0
BANGLADESH,2046,54.0
BANGLADESH,2047,54.0
BANGLADESH,2048,54.0
BANGLADESH,2049,54.0
BANGLADESH,2050,54.0
BRAZIL,2024,0.0
BRAZIL,2025,0.0
BRAZIL,2026,0.0
BRAZIL,2027,0.0
BRAZIL,2028,0.0
BRAZIL,2029,7.067123287671234
BRAZIL,2030,33.5
BRAZIL,2031,33.5
BRAZIL,2032,33.5
BRAZIL,2033,33.5
BRAZIL,2034,33.5
BRAZIL,2035,33.5
BRAZIL,2036,33.5
BRAZIL,2037,33.5
BRAZIL,2038,33.5
BRAZIL,2039,33.5
BRAZIL,2040,33.5
BRAZIL,2041,33.5
BRAZIL,2042,33.5
BRAZIL,2043,33.5
BRAZIL,2044,33.5
BRAZIL,2045,33.5
BRAZIL,2046,33.5
BRAZIL,2047,33.5
BRAZIL,2048,33.5
BRAZIL,2049,33.5
BRAZIL,2050,33.5
CHINA,2024,12.312328767123287
CHINA,2025,16.05
CHINA,2026,67.14383561643835
CHINA,2027,178.53568493150686
CHINA,2028,329.46123287671236
CHINA,2029,473.3517123287671
CHINA,2030,616.8253424657535
CHINA,2031,666.475
CHINA,2032,666.475
CHINA,2033,666.475
CHINA,2034,666.475
CHINA,2035,666.475
CHINA,2036,666.475
CHINA,2037,666.475
CHINA,2038,666.475
CHINA,2039,666.475
CHINA,2040,666.475
CHINA,2041,666.475
CHINA,2042,666.475
CHINA,2043,666.475
CHINA,2044,666.475
CHINA,2045,666.475
CHINA,2046,666.475
CHINA,2047,666.475
CHINA,2048,666.475
CHINA,2049,666.475
CHINA,2050,666.475
EGYPT,2024,0.0
EGYPT,2025,0.0
EGYPT,2026,0.0
EGYPT,2027,0.0
EGYPT,2028,0.0
EGYPT,2029,0.0
EGYPT,2030,0.0
EGYPT,2031,0.0
EGYPT,2032,30.28767123287672
EGYPT,2033,80.54109589041096
EGYPT,2034,82.50000000000001
EGYPT,2035,82.50000000000001
EGYPT,2036,82.50000000000001
EGYPT,2037,82.50000000000001
EGYPT,2038,82.50000000000001
EGYPT,2039,82.50000000000001
EGYPT,2040,82.50000000000001
EGYPT,2041,82.50000000000001
EGYPT,2042,82.50000000000001
EGYPT,2043,82.50000000000001
EGYPT,2044,82.50000000000001
EGYPT,2045,82.50000000000001
EGYPT,2046,82.50000000000001
EGYPT,2047,82.50000000000001
EGYPT,2048,82.50000000000001
EGYPT,2049,82.50000000000001
EGYPT,2050,82.50000000000001
FRANCE,2024,40.75
FRANCE,2025,40.75
FRANCE,2026,40.75
FRANCE,2027,40.75
FRANCE,2028,40.75
FRANCE,2029,40.75
FRANCE,2030,40.75
FRANCE,2031,40.75
FRANCE,2032,40.75
FRANCE,2033,40.75
FRANCE,2034,40.75
FRANCE,2035,40.75
FRANCE,2036,40.75
FRANCE,2037,40.75
FRANCE,2038,40.75
FRANCE,2039,40.75
FRANCE,2040,40.75
FRANCE,2041,40.75
FRANCE,2042,40.75
FRANCE,2043,40.75
FRANCE,2044,40.75
FRANCE,2045,40.75
FRANCE,2046,40.75
FRANCE,2047,40.75
FRANCE,2048,40.75
FRANCE,2049,40.75
FRANCE,2050,40.75
INDIA,2024,43.25
INDIA,2025,43.25
INDIA,2026,43.25
INDIA,2027,56.816575342465754
INDIA,2028,89.1
INDIA,2029,89.1
INDIA,2030,89.1
INDIA,2031,99.52616438356165
INDIA,2032,134.51034246575344
INDIA,2033,134.95
INDIA,2034,134.95
INDIA,2035,134.95
INDIA,2036,134.95
INDIA,2037,134.95
INDIA,2038,134.95
INDIA,2039,134.95
INDIA,2040,134.95
INDIA,2041,134.95
INDIA,2042,134.95
INDIA,2043,134.95
INDIA,2044,134.95
INDIA,2045,134.95
INDIA,2046,134.95
INDIA,2047,134.95
INDIA,2048,134.95
INDIA,2049,134.95
INDIA,2050,134.95
"IRAN, ISLAMIC REPUBLIC OF",2024,0.0
"IRAN, ISLAMIC REPUBLIC OF",2025,0.0
"IRAN, ISLAMIC REPUBLIC OF",2026,0.0
"IRAN, ISLAMIC REPUBLIC OF",2027,0.0
"IRAN, ISLAMIC REPUBLIC OF",2028,0.0
"IRAN, ISLAMIC REPUBLIC OF",2029,0.0
"IRAN, ISLAMIC REPUBLIC OF",2030,0.0
"IRAN, ISLAMIC REPUBLIC OF",2031,0.0
"IRAN, ISLAMIC REPUBLIC OF",2032,0.0
"IRAN, ISLAMIC REPUBLIC OF",2033,0.0
"IRAN, ISLAMIC REPUBLIC OF",2034,0.0
"IRAN, ISLAMIC REPUBLIC OF",2035,0.0
"IRAN, ISLAMIC REPUBLIC OF",2036,0.0
"IRAN, ISLAMIC REPUBLIC OF",2037,0.0
"IRAN, ISLAMIC REPUBLIC OF",2038,0.0
"IRAN, ISLAMIC REPUBLIC OF",2039,0.0
"IRAN, ISLAMIC REPUBLIC OF",2040,0.0
"IRAN, ISLAMIC REPUBLIC OF",2041,0.0
"IRAN, ISLAMIC REPUBLIC OF",2042,0.0
"IRAN, ISLAMIC REPUBLIC OF",2043,0.0
"IRAN, ISLAMIC REPUBLIC OF",2044,0.0
"IRAN, ISLAMIC REPUBLIC OF",2045,0.0
"IRAN, ISLAMIC REPUBLIC OF",2046,0.0
"IRAN, ISLAMIC REPUBLIC OF",2047,0.0
"IRAN, ISLAMIC REPUBLIC OF",2048,0.0
"IRAN, ISLAMIC REPUBLIC OF",2049,0.0
"IRAN, ISLAMIC REPUBLIC OF",2050,0.0
JAPAN,2024,66.325
JAPAN,2025,66.325
JAPAN,2026,66.325
JAPAN,2027,66.325
JAPAN,2028,66.325
JAPAN,2029,66.325
JAPAN,2030,66.325
JAPAN,2031,66.325
JAPAN,2032,66.325
JAPAN,2033,66.325
JAPAN,2034,66.325
JAPAN,2035,66.325
JAPAN,2036,66.325
JAPAN,2037,66.325
JAPAN,2038,66.325
JAPAN,2039,66.325
JAPAN,2040,66.325
JAPAN,2041,66.325
JAPAN,2042,66.325
JAPAN,2043,66.325
JAPAN,2044,66.325
JAPAN,2045,66.325
JAPAN,2046,66.325
JAPAN,2047,66.325
JAPAN,2048,66.325
JAPAN,2049,66.325
JAPAN,2050,66.325
"KOREA, REPUBLIC OF",2024,37.630136986301366
"KOREA, REPUBLIC OF",2025,67.0
"KOREA, REPUBLIC OF",2026,67.0
"KOREA, REPUBLIC OF",2027,67.0
"KOREA, REPUBLIC OF",2028,67.0
"KOREA, REPUBLIC OF",2029,67.0
"KOREA, REPUBLIC OF",2030,67.0
"KOREA, REPUBLIC OF",2031,67.0
"KOREA, REPUBLIC OF",2032,67.0
"KOREA, REPUBLIC OF",2033,67.0
"KOREA, REPUBLIC OF",2034,67.0
"KOREA, REPUBLIC OF",2035,67.0
"KOREA, REPUBLIC OF",2036,67.0
"KOREA, REPUBLIC OF",2037,67.0
"KOREA, REPUBLIC OF",2038,67.0
"KOREA, REPUBLIC OF",2039,67.0
"KOREA, REPUBLIC OF",2040,67.0
"KOREA, REPUBLIC OF",2041,67.0
"KOREA, REPUBLIC OF",2042,67.0
"KOREA, REPUBLIC OF",2043,67.0
"KOREA, REPUBLIC OF",2044,67.0
"KOREA, REPUBLIC OF",2045,67.0
"KOREA, REPUBLIC OF",2046,67.0
"KOREA, REPUBLIC OF",2047,67.0
"KOREA, REPUBLIC OF",2048,67.0
"KOREA, REPUBLIC OF",2049,67.0
"KOREA, REPUBLIC OF",2050,67.0
RUSSIA,2024,0.0
RUSSIA,2025,0.0
RUSSIA,2026,0.9041095890410958
RUSSIA,2027,30.65753424657534
RUSSIA,2028,60.0
RUSSIA,2029,60.0
RUSSIA,2030,66.88356164383562
RUSSIA,2031,67.5
RUSSIA,2032,71.91095890410959
RUSSIA,2033,96.25
RUSSIA,2034,96.25
RUSSIA,2035,96.25
RUSSIA,2036,96.25
RUSSIA,2037,96.25
RUSSIA,2038,96.25
RUSSIA,2039,96.25
RUSSIA,2040,96.25
RUSSIA,2041,96.25
RUSSIA,2042,96.25
RUSSIA,2043,96.25
RUSSIA,2044,96.25
RUSSIA,2045,96.25
RUSSIA,2046,96.25
RUSSIA,2047,96.25
RUSSIA,2048,96.25
RUSSIA,2049,96.25
RUSSIA,2050,96.25
SLOVAKIA,2024,11.0
SLOVAKIA,2025,11.0
SLOVAKIA,2026,11.0
SLOVAKIA,2027,11.0
SLOVAKIA,2028,11.0
SLOVAKIA,2029,11.0
SLOVAKIA,2030,11.0
SLOVAKIA,2031,11.0
SLOVAKIA,2032,11.0
SLOVAKIA,2033,11.0
SLOVAKIA,2034,11.0
SLOVAKIA,2035,11.0
SLOVAKIA,2036,11.0
SLOVAKIA,2037,11.0
SLOVAKIA,2038,11.0
SLOVAKIA,2039,11.0
SLOVAKIA,2040,11.0
SLOVAKIA,2041,11.0
SLOVAKIA,2042,11.0
SLOVAKIA,2043,11.0
SLOVAKIA,2044,11.0
SLOVAKIA,2045,11.0
SLOVAKIA,2046,11.0
SLOVAKIA,2047,11.0
SLOVAKIA,2048,11.0
SLOVAKIA,2049,11.0
SLOVAKIA,2050,11.0
TÜRKIYE,2024,0.0
TÜRKIYE,2025,0.0
TÜRKIYE,2026,0.0
TÜRKIYE,2027,0.3052054794520548
TÜRKIYE,2028,27.85
TÜRKIYE,2029,27.85
TÜRKIYE,2030,57.760136986301376
TÜRKIYE,2031,83.55000000000001
TÜRKIYE,2032,103.46465753424658
TÜRKIYE,2033,111.4
TÜRKIYE,2034,111.4
TÜRKIYE,2035,111.4
TÜRKIYE,2036,111.4
TÜRKIYE,2037,111.4
TÜRKIYE,2038,111.4
TÜRKIYE,2039,111.4
TÜRKIYE,2040,111.4
TÜRKIYE,2041,111.4
TÜRKIYE,2042,111.4
TÜRKIYE,2043,111.4
TÜRKIYE,2044,111.4
TÜRKIYE,2045,111.4
TÜRKIYE,2046,111.4
TÜRKIYE,2047,111.4
TÜRKIYE,2048,111.4
TÜRKIYE,2049,111.4
TÜRKIYE,2050,111.4
UKRAINE,2024,51.74999999999999
UKRAINE,2025,51.74999999999999
UKRAINE,2026,51.74999999999999
UKRAINE,2027,51.74999999999999
UKRAINE,2028,51.74999999999999
UKRAINE,2029,51.74999999999999
UKRAINE,2030,51.74999999999999
UKRAINE,2031,51.74999999999999
UKRAINE,2032,51.74999999999999
UKRAINE,2033,51.74999999999999
UKRAINE,2034,51.74999999999999
UKRAINE,2035,51.74999999999999
UKRAINE,2036,51.74999999999999
UKRAINE,2037,51.74999999999999
UKRAINE,2038,51.74999999999999
UKRAINE,2039,51.74999999999999
UKRAINE,2040,51.74999999999999
UKRAINE,2041,51.74999999999999
UKRAINE,2042,51.74999999999999
UKRAINE,2043,51.74999999999999
UKRAINE,2044,51.74999999999999
UKRAINE,2045,51.74999999999999
UKRAINE,2046,51.74999999999999
UKRAINE,2047,51.74999999999999
UKRAINE,2048,51.74999999999999
UKRAINE,2049,51.74999999999999
UKRAINE,2050,51.74999999999999
UNITED KINGDOM,2024,0.0
UNITED KINGDOM,2025,0.0
UNITED KINGDOM,2026,0.0
UNITED KINGDOM,2027,24.45
UNITED KINGDOM,2028,65.2
UNITED KINGDOM,2029,81.5
UNITED KINGDOM,2030,81.5
UNITED KINGDOM,2031,81.5
UNITED KINGDOM,2032,81.5
UNITED KINGDOM,2033,81.5
UNITED KINGDOM,2034,81.5
UNITED KINGDOM,2035,81.5
UNITED KINGDOM,2036,81.5
UNITED KINGDOM,2037,81.5
UNITED KINGDOM,2038,81.5
UNITED KINGDOM,2039,81.5
UNITED KINGDOM,2040,81.5
UNITED KINGDOM,2041,81.5
UNITED KINGDOM,2042,81.5
UNITED KINGDOM,2043,81.5
UNITED KINGDOM,2044,81.5
UNITED KINGDOM,2045,81.5
UNITED KINGDOM,2046,81.5
UNITED KINGDOM,2047,81.5
UNITED KINGDOM,2048,81.5
UNITED KINGDOM,2049,81.5
UNITED KINGDOM,2050,81.5
