Name,Country,Construction Start Date,Predicted Completion Date
AKKUYU-1,TÜRKIYE,2018-04-03,2027-12-27 16:03:41.504355728
AKKUYU-2,TÜRKIYE,2020-04-08,2030-01-01 16:03:41.504355728
AKKUYU-3,TÜRKIYE,2021-03-10,2030-12-03 16:03:41.504355728
AKKUYU-4,TÜRKIYE,2022-07-21,2032-04-14 16:03:41.504355728
ANGRA-3,BRAZIL,2010-05-30,2029-10-15 18:00:00.000000025
BREST-OD-300,RUSSIA,2021-06-08,2030-01-30 22:53:01.395348809
BUSHEHR-2,"IRAN, ISLAMIC REPUBLIC OF",2019-09-27,2058-02-19 12:00:00.000000086
CAREM25,ARGENTINA,2015-08-25,2032-07-22 16:00:00.000000002
CHANGJIANG-3,CHINA,2021-03-31,2027-06-27 22:54:32.727272731
CHANGJIANG-4,CHINA,2021-12-28,2028-03-25 22:54:32.727272731
EL DABAA-1,EGYPT,2022-07-20,2032-04-13 16:03:41.504355728
EL DABAA-2,EGYPT,2022-11-19,2032-08-13 16:03:41.504355728
EL DABAA-3,EGYPT,2023-05-03,2033-01-26 16:03:41.504355728
FLAMANVILLE-3,FRANCE,2007-12-03,2014-12-20 16:23:59.999999979
HAIYANG-3,CHINA,2022-07-07,2028-10-03 22:54:32.727272731
HAIYANG-4,CHINA,2023-04-22,2029-07-19 22:54:32.727272731
HINKLEY POINT C-1,UNITED KINGDOM,2018-12-11,2027-05-26 12:55:23.076923039
HINKLEY POINT C-2,UNITED KINGDOM,2019-12-12,2028-05-26 12:55:23.076923039
KHMELNITSKI-3,UKRAINE,1986-03-01,1994-03-21 00:00:00.000000034
KHMELNITSKI-4,UKRAINE,1987-02-01,1995-02-21 00:00:00.000000034
KUDANKULAM-3,INDIA,2017-06-29,2027-07-18 23:00:00.000000040
KUDANKULAM-4,INDIA,2017-10-23,2027-11-11 23:00:00.000000040
KUDANKULAM-5,INDIA,2021-06-29,2031-07-18 23:00:00.000000040
KUDANKULAM-6,INDIA,2021-12-20,2032-01-08 23:00:00.000000040
KURSK 2-1,RUSSIA,2018-04-28,2026-12-20 22:53:01.395348809
KURSK 2-2,RUSSIA,2019-05-01,2027-12-23 22:53:01.395348809
LENINGRAD 2-3,RUSSIA,2024-03-14,2032-11-05 22:53:01.395348809
LIANJIANG-1,CHINA,2023-09-27,2029-12-24 22:54:32.727272731
LIANJIANG-2,CHINA,2024-04-26,2030-07-23 22:54:32.727272731
LINGLONG-1,CHINA,2021-07-13,2027-10-09 22:54:32.727272731
LUFENG-5,CHINA,2022-09-08,2028-12-05 22:54:32.727272731
LUFENG-6,CHINA,2023-08-26,2029-11-22 22:54:32.727272731
MOCHOVCE-4,SLOVAKIA,1987-01-27,1998-06-23 02:34:17.142857181
OHMA,JAPAN,2010-05-07,2015-02-07 04:36:55.384615385
PFBR,INDIA,2004-10-23,2014-11-11 23:00:00.000000040
RAJASTHAN-7,INDIA,2011-07-18,2021-08-06 23:00:00.000000040
RAJASTHAN-8,INDIA,2011-09-30,2021-10-19 23:00:00.000000040
ROOPPUR-1,BANGLADESH,2017-11-30,2027-08-25 16:03:41.504355728
ROOPPUR-2,BANGLADESH,2018-07-14,2028-04-07 16:03:41.504355728
SAEUL-3,"KOREA, REPUBLIC OF",2017-04-01,2023-05-28 22:26:05.217391317
SAEUL-4,"KOREA, REPUBLIC OF",2018-09-20,2024-11-16 22:26:05.217391317
SANAO-1,CHINA,2020-12-31,2027-03-29 22:54:32.727272731
SANAO-2,CHINA,2021-12-30,2028-03-27 22:54:32.727272731
SANMEN-3,CHINA,2022-06-28,2028-09-24 22:54:32.727272731
SANMEN-4,CHINA,2023-03-22,2029-06-18 22:54:32.727272731
SHIMANE-3,JAPAN,2006-10-24,2011-07-27 04:36:55.384615385
TAIPINGLING-1,CHINA,2019-12-26,2026-03-24 22:54:32.727272731
TAIPINGLING-2,CHINA,2020-10-15,2027-01-11 22:54:32.727272731
TIANWAN-7,CHINA,2021-05-19,2027-08-15 22:54:32.727272731
TIANWAN-8,CHINA,2022-02-25,2028-05-23 22:54:32.727272731
XIAPU-1,CHINA,2017-12-29,2024-03-26 22:54:32.727272731
XUDAPU-1,CHINA,2023-11-03,2030-01-30 22:54:32.727272731
XUDAPU-2,CHINA,2024-07-17,2030-10-13 22:54:32.727272731
XUDAPU-3,CHINA,2021-07-28,2027-10-24 22:54:32.727272731
XUDAPU-4,CHINA,2022-05-19,2028-08-15 22:54:32.727272731
ZHANGZHOU-1,CHINA,2019-10-16,2026-01-12 22:54:32.727272731
ZHANGZHOU-2,CHINA,2020-09-04,2026-12-01 22:54:32.727272731
ZHANGZHOU-3,CHINA,2024-02-22,2030-05-21 22:54:32.727272731
