Year,Uranium(T)
1945,704
1946,1030
1947,1400
1948,1977
1949,3523
1950,7188
1951,6384
1952,8174
1953,11840
1954,14924
1955,18183
1955,22836
1957,32061
1958,40740
1959,47507
1960,46158
1961,41444
1962,40739
1963,38677
1964,33741
1965,31433
1966,32892
1967,34534
1968,36649
1969,36195
1970,37776
1971,38481
1972,40433
1973,41441
1974,40876
1975,42948
1976,46938
1976,50897
1978,59645
1979,63996
1980,69213
1981,69222
1982,64184
1983,61458
1984,63238
1985,60047
1986,62162
1989,57508
1990,50623
1990,44819
1991,39361
1993,33368
1994,31284
1995,32834
1996,35744
1997,36358
1998,34986
1999,32179
2000,36112
2001,36366
2003,39317
2003,35574
2005,41719
2006,39444
2007,41282
2008,43853
2009,50773
2010,53671
2011,53494
2012,58490
2013,59624
2014,56042
2015,60342
2016,63206
2017,60462
2018,54155
2019,54742
2020,47731
2021,47810
