Year,Reference Unit Power [MW]
1964,17
1965,119
1966,119
1967,238
1968,162
1969,401
1970,12049
1971,21750
1972,30947
1973,39300
1974,57105
1975,67307
1976,79134
1977,90659
1978,104598
1979,113543
1980,126134
1981,145340
1982,160238
1983,174327
1984,208206
1985,235101
1986,253357
1987,281820
1988,298276
1989,311631
1990,319381
1991,323300
1992,325655
1993,331337
1994,336501
1995,338755
1996,346405
1997,347240
1998,345482
1999,343878
2000,350266
2001,350172
2002,356317
2003,359758
2004,365858
2005,369109
2006,371860
2007,371751
2008,372009
2009,373247
2010,375451
2011,380303
2012,373051
2013,375642
2014,375392
2015,385134
2016,389615
2017,391102
2018,399090
2019,399331
2020,394825
2021,394684
2022,359344
2023,361724
