Country,Construction Duration
ARGENTINA,16.910791695185946
ARMENIA,6.553045859000685
BELARUS,8.550308008213552
BELGIUM,6.12144323848636
BRAZIL,19.37987679671458
BULGARIA,8.374401095140314
CANADA,7.283927571401904
CHINA,6.243544272291706
CZECH REPUBLIC,10.21720282911248
FINLAND,10.723248916267396
FRANCE,7.048414328085785
GERMANY,7.3760349738358615
HUNGARY,8.641341546885695
INDIA,10.054642938626511
"IRAN, ISLAMIC REPUBLIC OF",38.39835728952772
ITALY,6.292265571526352
JAPAN,4.756173327015216
KAZAKHSTAN,8.788501026694044
"KOREA, REPUBLIC OF",6.158616790167545
LITHUANIA,8.956878850102669
MEXICO,15.839835728952773
"NETHERLANDS, KINGDOM OF THE",3.9014373716632442
PAKISTAN,5.968123594406962
ROMANIA,19.006160164271048
RUSSIA,8.648743294653231
SLOVAKIA,11.402757406864183
SLOVENIA,7.759069130732375
SOUTH AFRICA,9.357973990417522
SPAIN,8.664271047227926
SWEDEN,6.8732222982736335
SWITZERLAND,6.200136892539357
"TAIWAN, CHINA",6.2587268993839835
UKRAINE,8.054757015742643
UNITED ARAB EMIRATES,8.67898699520876
UNITED KINGDOM,8.455957458010845
UNITED STATES OF AMERICA,8.58156928629208
